Layer,Name,Area,Length,Contents,Count,Block Unit,Color,Linetype,Closed,Area_m2
MB-ELEV 4,Line,,0.8062,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,1.1330,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,1.9241,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,8.9532,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.3726,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,5.1744,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,6.5994,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.9113,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,5.9582,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,2.4754,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,2.1271,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,1.1404,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,3.7315,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,4.7190,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.3179,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.8654,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.5259,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,7.9549,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,1.7844,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,4.1046,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,3.6379,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.8697,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,4.2101,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,4.2185,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,3.9262,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,1.7432,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,2.8068,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,1.6714,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,1.7121,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,1.3935,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,2.5092,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.4884,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,1.8692,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.9618,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,1.6536,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,4.7817,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.7356,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,1.1743,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,5.3877,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.5191,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.9353,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,1.5470,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,1.5289,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.5615,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.8798,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.2477,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.6748,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.9756,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,1.3341,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,1.2397,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.4143,,1,,ByLayer,ByLayer,,
